gameName,from,bestPrice,stock,price_jogonamesa,stock_jogonamesa,price_kultgames,stock_kultgames,price_gameplay,stock_gameplay,price_juegosdelamesaredonda,stock_juegosdelamesaredonda,price_diver,stock_diver,price_arenaporto,stock_arenaporto,price_dracotienda,stock_dracotienda,price_amazon,stock_amazon,price_planetongames,stock_planetongames,price_gglounge,stock_gglounge,price_versusgamecenter,stock_versusgamecenter,price_devir,stock_devir,price_ajogar,stock_ajogar,price_saltadacaixa,stock_saltadacaixa,price_jubilantsunday,stock_jubilantsunday
MUST HAVE,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Feast for Odin,jogonamesa.pt,91.46,esgotado,91.46,esgotado,,,99.95,em stock,,,,,147.59, esgotado,,,120.56,em stock,,,,,,,,,,,,,,
Agricola EN,jogonamesa.pt,46.92,esgotado,46.92,esgotado,69.99,delivery in 1 to 2 weeks time,54.50,em stock,49.45,en reposicin,53.99,disponvel,61.99, esgotado,,,55.41,estimativa de envio de 3 a 5 dias,,,,,,,,,,,,,,
Agricola PT,jogonamesa.pt,46.92,esgotado,46.92,esgotado,,,,,,,53.99,disponvel,,,,,,,,,,,,,,,,,,,,
Anno 1800,dracotienda.com,40.50,  disponible,46.71,em 23 dias,,,55.95,restock,40.45,en stock,,,,,40.50,  disponible,58.10,em stock,40.50,ltimas unidades en stock,,,,,,,,,,,,
Barrage,gglounge.pt,61.90,out of stock,62.53,em 23 dias,67.95,delivery in 1 to 2 weeks time,69.95,restock,63.71,en stock,62.99,disponivel,79.99, esgotado,67.50,  disponible,77.00,apenas 2 em stock,67.50,ltimas unidades en stock,61.90,out of stock,,,,,,,69.95, em stock,67.86, em stock
Calimala,dracotienda.com,44.95,  ltimas unidades en stock,,,,,,,47.95,en reposicin,,,,,44.95,  ltimas unidades en stock,49.95,apenas 4 em stock,44.96,no disponible,,,,,,,,,,,,
Champions of Midgard,jogonamesa.pt,48.34,esgotado,48.34,esgotado,71.95,delivery in 1 to 2 weeks time,59.99,esgotado,55.80,en reposicin,62.99,encomenda ao fornecedor entrega em 1 a 2 semanas,,,54.95,  fuera de stock,,,,,,,,,,,,,,,,
Champions of Midgard: The Dark Mountains,jogonamesa.pt,21.58,esgotado,21.58,esgotado,,,,,29.50,en reposicin,33.29,encomenda ao fornecedor entrega em 1 a 2 semanas,,,24.95,  fuera de stock,,,,,,,,,,,,,,,,
Champions of Midgard: Valhalla,jogonamesa.pt,23.40,esgotado,23.40,esgotado,,,,,35.95,en reposicin,28.99,encomenda ao fornecedor entrega em 1 a 2 semanas,,,29.95,  fuera de stock,,,,,,,,,,,,,,,,
Champions of Midgard: BIG BOX,www.amazon.es,99.95,apenas 1 em stock,,,,,,,,,,,,,,,99.95,apenas 1 em stock,116.99,no disponible,,,,,,,,,,,,
Container,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
