gameName,from,bestPrice,stock,price_jogonamesa,stock_jogonamesa,price_kultgames,stock_kultgames,price_gameplay,stock_gameplay,price_juegosdelamesaredonda,stock_juegosdelamesaredonda,price_diver,stock_diver,price_arenaporto,stock_arenaporto,price_dracotienda,stock_dracotienda,price_amazon,stock_amazon,price_planetongames,stock_planetongames,price_gglounge,stock_gglounge,price_versusgamecenter,stock_versusgamecenter,price_devir,stock_devir
MUST HAVE,,5000,,,,,,,,,,,,,,,,,,,,,,,,,
A Feast for Odin,jogonamesa.pt,91.46,esgotado,91.46,esgotado,,,99.95,em stock,,,114.99,encomenda ao fornecedor,147.59, esgotado,,,,,,,,,,,,
Agricola EN,jogonamesa.pt,49.77,em 24 dias,49.77,em 24 dias,69.99,delivery in 1 to 2 weeks time,49.45,en reposicin,,,53.99,disponvel,61.99, esgotado,,,,,,,,,,,,
Agricola PT,gameplay.pt,43.60,esgotado,49.77,em 24 dias,,,43.60,esgotado,,,53.99,disponvel,,,,,,,,,,,,,,
Anno 1800,jogonamesa.pt,39.51,esgotado,39.51,esgotado,,,40.45,en stock,,,,,,,40.50,  ltimas unidades en stock,52.14,em stock,40.50,no disponible,,,,,,
Barrage,jubilantsunday.com,54.27, em stock,65.00,imediata,67.95,delivery in 1 to 2 weeks time,63.71,en stock,,,62.99,disponivel,75.99, ltimos artigos em stock,67.50,  disponible,77.00,apenas 2 em stock,67.50,no disponible,61.90,out of stock,,,69.95,esgotado
Calimala,dracotienda.com,44.95,  ltimas unidades en stock,,,,,47.95,en reposicin,,,,,,,44.95,  ltimas unidades en stock,49.95,apenas 5 em stock,44.96,no disponible,,,,,,
Champions of Midgard,jogonamesa.pt,48.34,esgotado,48.34,esgotado,71.95,delivery in 1 to 2 weeks time,55.80,en reposicin,,,62.99,encomenda ao fornecedor entrega em 1 a 2 semanas,,,54.95,  fuera de stock,,,,,,,,,,
Champions of Midgard: The Dark Mountains,jogonamesa.pt,21.58,esgotado,21.58,esgotado,,,29.50,en reposicin,,,36.99,encomenda ao fornecedor entrega em 1 a 2 semanas,,,24.95,  fuera de stock,,,,,,,,,,
Champions of Midgard: Valhalla,jogonamesa.pt,23.40,esgotado,23.40,esgotado,,,35.95,en reposicin,,,28.99,encomenda ao fornecedor entrega em 1 a 2 semanas,,,29.95,  fuera de stock,,,,,,,,,,
Champions of Midgard: BIG BOX,www.amazon.es,99.95,apenas 1 em stock,,,,,,,,,,,,,,,99.95,apenas 1 em stock,116.99,no disponible,,,,,,
Container,,5000,,,,,,,,,,,,,,,,,,,,,,,,,
Curious Cargo,jogonamesa.pt,29.38,em 17 dias,29.38,em 17 dias,,,29.71,en stock,,,37.99,esgotado em prencomenda,,,34.95,  disponible,32.95,em stock,,,,,,,29.37, em stock
Custom Heroes,juegosdelamesaredonda.com,22.00,agotado,,,,,22.00,agotado,,,,,,,,,29.95,apenas 2 em stock,,,,,,,,
Darwin's Choice,,5000,,,,,,,,,,,,,,,,,,,,,,,,,
Dice Forge EN,jogonamesa.pt,38.00,em 24 dias,38.00,em 24 dias,,,49.99,ltima unidade em stock,,,42.29,disponvel,,,,,,,,,38.90,out of stock,,,,
Dice Forge PT/ES,www.amazon.es,29.99,em stock,,,,,35.96,en stock,,,,,,,39.95,  fuera de stock,29.99,em stock,,,,,,,39.95, em stock
